[2024-08-07 15:47:01,436: INFO: main:cretaed the housing package ]
[2024-08-07 16:31:15,712: INFO: common:yaml file : config/config.yaml laoded sucessfully]
[2024-08-07 16:31:15,715: INFO: common:yaml file : params.yaml laoded sucessfully]
[2024-08-07 16:31:48,327: INFO: common:yaml file : config/config.yaml laoded sucessfully]
[2024-08-07 16:31:48,329: INFO: common:yaml file : params.yaml laoded sucessfully]
[2024-08-07 16:31:48,330: INFO: common:created directory at :artifacts ]
[2024-08-07 16:31:48,331: INFO: common:created directory at :artifacts/data_ingestion ]
[2024-08-07 16:35:58,525: INFO: common:yaml file : config/config.yaml laoded sucessfully]
[2024-08-07 16:35:58,527: INFO: common:yaml file : params.yaml laoded sucessfully]
[2024-08-07 16:35:58,528: INFO: common:created directory at :artifacts ]
[2024-08-07 16:35:58,529: INFO: common:created directory at :artifacts/data_ingestion ]
[2024-08-07 16:36:21,263: INFO: common:yaml file : config/config.yaml laoded sucessfully]
[2024-08-07 16:36:21,268: INFO: common:yaml file : params.yaml laoded sucessfully]
[2024-08-07 16:36:21,270: INFO: common:created directory at :artifacts ]
[2024-08-07 16:36:21,271: INFO: common:created directory at :artifacts/data_ingestion ]
